artist,startTime,endTime
The Vaccines,2018-08-05T15:00:00-06:00,2018-08-05T16:00:00-06:00
Rainbow Kitten Surprise,2018-08-05T16:00:00-06:00,2018-08-05T17:00:00-06:00
NAV,2018-08-05T18:00:00-06:00,2018-08-05T19:00:00-06:00
Medasin,2018-08-05T20:00:00-06:00,2018-08-05T20:45:00-06:00
Frenship,2018-08-05T14:00:00-06:00,2018-08-05T15:00:00-06:00
Superorganism,2018-08-05T12:15:00-06:00,2018-08-05T13:00:00-06:00
Jessie Reyez,2018-08-05T14:50:00-06:00,2018-08-05T15:30:00-06:00
Dorothy,2018-08-05T12:00:00-06:00,2018-08-05T12:30:00-06:00
Knox Fortune,2018-08-05T16:00:00-06:00,2018-08-05T16:45:00-06:00
Playboi Carti,2018-08-05T21:00:00-06:00,2018-08-05T22:00:00-06:00
Sasha Sloan,2018-08-05T12:50:00-06:00,2018-08-05T13:30:00-06:00
Quinn XCII,2018-08-05T19:45:00-06:00,2018-08-05T20:30:00-06:00
Sabrina Claudio,2018-08-05T17:15:00-06:00,2018-08-05T18:00:00-06:00
Rex Orange County,2018-08-05T13:50:00-06:00,2018-08-05T14:30:00-06:00
Cigarettes After Sex,2018-08-05T18:30:00-06:00,2018-08-05T19:15:00-06:00
The Aces,2018-08-05T16:30:00-06:00,2018-08-05T17:10:00-06:00
John Splithoff,2018-08-05T18:50:00-06:00,2018-08-05T19:30:00-06:00
The Wrecks,2018-08-05T17:40:00-06:00,2018-08-05T18:20:00-06:00
Mikky Ekko,2018-08-05T15:20:00-06:00,2018-08-05T16:00:00-06:00
Morgan Saint,2018-08-05T13:00:00-06:00,2018-08-05T13:40:00-06:00
Van William,2018-08-05T14:10:00-06:00,2018-08-05T14:50:00-06:00
EKALI,2018-08-05T14:00:00-06:00,2018-08-05T14:45:00-06:00
BAZZI,2018-08-05T19:45:00-06:00,2018-08-05T20:30:00-06:00
Herobust,2018-08-05T16:00:00-06:00,2018-08-05T17:00:00-06:00
The Him,2018-08-05T13:00:00-06:00,2018-08-05T13:45:00-06:00
Excision,2018-08-05T20:45:00-06:00,2018-08-05T21:45:00-06:00
Chris Lake,2018-08-05T15:00:00-06:00,2018-08-05T15:45:00-06:00
What So Not,2018-08-05T18:30:00-06:00,2018-08-05T19:30:00-06:00
Tim Gunter,2018-08-05T12:00:00-06:00,2018-08-05T12:45:00-06:00
TroyBoi,2018-08-05T17:15:00-06:00,2018-08-05T18:15:00-06:00
Q Brothers,2018-08-05T13:30:00-06:00,2018-08-05T14:00:00-06:00
Justin Roberts & the Not Ready for Naptime Players,2018-08-05T17:00:00-06:00,2018-08-05T17:30:00-06:00
kb Whirly,2018-08-05T12:00:00-06:00,2018-08-05T12:30:00-06:00
School of Rock AllStars,2018-08-05T15:00:00-06:00,2018-08-05T15:30:00-06:00
Chromeo,2018-08-05T19:30:00-06:00,2018-08-05T20:30:00-06:00
Freya Ridings,2018-08-05T12:00:00-06:00,2018-08-05T12:45:00-06:00
Manchester Orchestra,2018-08-05T17:30:00-06:00,2018-08-05T18:30:00-06:00
KALI UCHIS,2018-08-05T15:30:00-06:00,2018-08-05T16:30:00-06:00
Durand Jones & The Indications,2018-08-05T13:30:00-06:00,2018-08-05T14:30:00-06:00
The Regrettes,2018-08-05T12:45:00-06:00,2018-08-05T13:30:00-06:00
Portugal. The Man,2018-08-05T18:30:00-06:00,2018-08-05T19:30:00-06:00
Anderson East,2018-08-05T14:30:00-06:00,2018-08-05T15:30:00-06:00
Jack White,2018-08-05T20:30:00-06:00,2018-08-05T22:00:00-06:00
Lykke Li,2018-08-05T16:30:00-06:00,2018-08-05T17:30:00-06:00
